iter	Passed	Remaining
760	24484	7689
761	24516	7657
762	24548	7625
763	24579	7592
764	24612	7560
765	24645	7528
766	24678	7496
767	24708	7464
768	24741	7432
769	24772	7399
770	24804	7367
771	24835	7334
772	24868	7302
773	24900	7270
774	24931	7238
775	24962	7205
776	24993	7173
777	25026	7141
778	25058	7109
779	25092	7077
780	25124	7045
781	25157	7013
782	25189	6981
783	25220	6948
784	25252	6916
785	25283	6883
786	25314	6851
787	25347	6819
788	25379	6787
789	25409	6754
790	25440	6722
791	25474	6690
792	25506	6658
793	25539	6625
794	25571	6593
795	25604	6561
796	25635	6529
797	25668	6497
798	25701	6465
799	25731	6432
800	25764	6400
801	25796	6368
802	25829	6336
803	25861	6304
804	25893	6272
805	25926	6240
806	25958	6208
807	25993	6176
808	26026	6144
809	26057	6112
810	26090	6080
811	26121	6047
812	26153	6015
813	26186	5983
814	26217	5951
815	26249	5919
816	26282	5886
817	26313	5854
818	26346	5822
819	26377	5790
820	26410	5758
821	26442	5726
822	26476	5694
823	26510	5662
824	26542	5630
825	26575	5598
826	26607	5566
827	26638	5533
828	26671	5501
829	26703	5469
830	26733	5436
831	26766	5404
832	26798	5372
833	26831	5340
834	26861	5307
835	26893	5275
836	26927	5243
837	26959	5211
838	26992	5179
839	27024	5147
840	27058	5115
841	27091	5083
842	27123	5051
843	27156	5019
844	27187	4987
845	27219	4954
846	27250	4922
847	27282	4890
848	27315	4858
849	27347	4826
850	27380	4793
851	27411	4761
852	27442	4729
853	27474	4697
854	27506	4664
855	27539	4632
856	27573	4600
857	27622	4571
858	27653	4539
859	27686	4507
860	27718	4474
861	27750	4442
862	27782	4410
863	27813	4378
864	27846	4346
865	27878	4313
866	27911	4281
867	27943	4249
868	27975	4217
869	28007	4185
870	28041	4153
871	28071	4120
872	28104	4088
873	28137	4056
874	28168	4024
875	28200	3991
876	28234	3959
877	28264	3927
878	28296	3895
879	28329	3863
880	28359	3830
881	28391	3798
882	28425	3766
883	28456	3734
884	28488	3701
885	28521	3669
886	28553	3637
887	28585	3605
888	28618	3573
889	28651	3541
890	28682	3508
891	28715	3476
892	28747	3444
893	28779	3412
894	28812	3380
895	28843	3347
896	28876	3315
897	28908	3283
898	28941	3251
899	28972	3219
900	29005	3187
901	29037	3154
902	29070	3122
903	29103	3090
904	29136	3058
905	29168	3026
906	29202	2994
907	29236	2962
908	29270	2930
909	29302	2898
910	29335	2865
911	29367	2833
912	29400	2801
913	29430	2769
914	29463	2737
915	29494	2704
916	29528	2672
917	29559	2640
918	29589	2608
919	29620	2575
920	29653	2543
921	29686	2511
922	29718	2479
923	29750	2447
924	29783	2414
925	29814	2382
926	29847	2350
927	29879	2318
928	29911	2286
929	29944	2253
930	29977	2221
931	30009	2189
932	30042	2157
933	30074	2125
934	30105	2092
935	30139	2060
936	30169	2028
937	30201	1996
938	30233	1964
939	30266	1931
940	30298	1899
941	30330	1867
942	30362	1835
943	30395	1803
944	30427	1770
945	30459	1738
946	30491	1706
947	30524	1674
948	30558	1642
949	30589	1609
950	30621	1577
951	30653	1545
952	30686	1513
953	30718	1481
954	30750	1448
955	30783	1416
956	30815	1384
957	30851	1352
958	30882	1320
959	30915	1288
960	30948	1255
961	30979	1223
962	31011	1191
963	31042	1159
964	31075	1127
965	31107	1094
966	31139	1062
967	31170	1030
968	31204	998
969	31237	966
970	31269	933
971	31302	901
972	31333	869
973	31366	837
974	31398	805
975	31430	772
976	31463	740
977	31493	708
978	31526	676
979	31558	644
980	31591	611
981	31622	579
982	31654	547
983	31687	515
984	31720	483
985	31752	450
986	31784	418
987	31815	386
988	31846	354
989	31879	322
990	31911	289
991	31942	257
992	31975	225
993	32007	193
994	32040	161
995	32072	128
996	32103	96
997	32136	64
998	32169	32
999	32202	0
