iter	Passed	Remaining
649	44969	1338704
650	45038	1338641
651	45099	1338326
652	45169	1338285
653	45234	1338095
654	45300	1337915
655	45369	1337841
656	45442	1337903
657	45514	1337891
658	45580	1337730
659	45644	1337507
660	45718	1337599
661	45789	1337590
662	45861	1337594
663	45931	1337535
664	45998	1337406
665	46067	1337339
666	46139	1337362
667	46208	1337281
668	46277	1337218
669	46349	1337225
670	46413	1336999
671	46486	1337028
672	46558	1337041
673	46623	1336875
674	46692	1336791
675	46763	1336761
676	46828	1336581
677	46901	1336609
678	46961	1336298
679	47030	1336218
680	47093	1335979
681	47160	1335852
682	47230	1335801
683	47305	1335884
684	47365	1335574
685	47434	1335492
686	47501	1335368
687	47572	1335356
688	47637	1335163
689	47701	1334962
690	47763	1334694
691	47837	1334743
692	47900	1334511
693	47970	1334477
694	48032	1334192
695	48102	1334153
696	48162	1333818
697	48219	1333432
698	48281	1333177
699	48353	1333183
700	48428	1333281
701	48497	1333200
702	48566	1333122
703	48635	1333064
704	48705	1333021
705	48772	1332871
706	48836	1332689
707	48911	1332759
708	48980	1332689
709	49040	1332372
710	49108	1332274
711	49176	1332194
712	49252	1332300
713	49317	1332130
714	49388	1332103
715	49452	1331913
716	49516	1331703
717	49580	1331492
718	49650	1331443
719	49722	1331453
720	49794	1331474
721	49865	1331439
722	49927	1331183
723	50002	1331292
724	50070	1331194
725	50148	1331343
726	50218	1331319
727	50288	1331265
728	50360	1331270
729	50426	1331117
730	50500	1331188
731	50568	1331082
732	50642	1331150
733	50714	1331149
734	50777	1330924
735	50843	1330782
736	50911	1330664
737	50984	1330703
738	51041	1330332
739	51116	1330407
740	51188	1330417
741	51258	1330376
742	51328	1330338
743	51398	1330275
744	51462	1330078
745	51531	1330000
746	51599	1329921
747	51668	1329832
748	51735	1329730
749	51809	1329775
750	51880	1329760
751	51947	1329626
752	52020	1329654
753	52076	1329263
754	52147	1329242
755	52217	1329189
756	52291	1329251
757	52356	1329086
758	52427	1329054
759	52489	1328821
760	52561	1328827
761	52631	1328779
762	52704	1328791
763	52767	1328592
764	52831	1328393
765	52892	1328123
766	52962	1328064
767	53032	1328023
768	53104	1328033
769	53170	1327887
770	53238	1327783
771	53305	1327656
772	53367	1327413
773	53436	1327346
774	53501	1327174
775	53566	1327005
776	53625	1326700
777	53694	1326621
778	53763	1326562
779	53833	1326516
780	53897	1326323
781	53966	1326253
782	54037	1326221
783	54104	1326119
784	54173	1326047
785	54240	1325916
786	54301	1325661
787	54362	1325392
788	54442	1325591
789	54508	1325457
790	54584	1325561
791	54646	1325319
792	54711	1325157
793	54777	1325017
794	54851	1325061
795	54920	1324994
796	54987	1324869
797	55052	1324699
798	55118	1324570
799	55180	1324335
800	55245	1324160
801	55311	1324034
802	55381	1323981
803	55447	1323851
804	55507	1323562
805	55573	1323424
806	55642	1323342
807	55715	1323371
808	55774	1323085
809	55835	1322828
810	55903	1322733
811	55974	1322714
812	56052	1322844
813	56116	1322670
814	56192	1322762
815	56256	1322570
816	56326	1322540
817	56391	1322381
818	56466	1322451
819	56527	1322195
820	56599	1322189
821	56661	1321952
822	56728	1321857
823	56791	1321646
824	56864	1321664
825	56928	1321491
826	56996	1321384
827	57062	1321247
828	57132	1321221
829	57202	1321181
830	57272	1321128
831	57340	1321039
832	57406	1320904
833	57476	1320852
834	57545	1320784
835	57613	1320688
836	57689	1320800
837	57755	1320661
838	57822	1320535
839	57883	1320285
840	57957	1320334
841	58025	1320249
842	58089	1320081
843	58156	1319950
844	58219	1319748
845	58286	1319643
846	58373	1319992
847	58450	1320091
848	58519	1320032
849	58582	1319829
850	58649	1319715
851	58721	1319728
852	58788	1319603
853	58856	1319516
854	58926	1319474
855	58994	1319377
856	59065	1319367
857	59131	1319216
858	59196	1319066
859	59265	1319000
860	59338	1319031
861	59405	1318911
862	59480	1318968
863	59551	1318950
864	59618	1318851
865	59681	1318651
866	59746	1318495
867	59809	1318294
868	59885	1318372
869	59953	1318278
870	60022	1318227
871	60093	1318197
872	60155	1317971
873	60214	1317690
874	60274	1317419
875	60344	1317375
876	60418	1317416
877	60478	1317159
878	60553	1317218
879	60626	1317242
880	60694	1317165
881	60760	1317025
882	60819	1316745
883	60891	1316739
884	60958	1316636
885	61033	1316700
886	61102	1316624
887	61165	1316430
888	61222	1316107
889	61289	1316005
890	61359	1315966
891	61421	1315742
892	61485	1315570
893	61555	1315529
894	61626	1315508
895	61694	1315407
896	61771	1315511
897	61833	1315301
898	61901	1315215
899	61965	1315041
900	62033	1314967
901	62102	1314891
902	62172	1314858
903	62235	1314666
904	62302	1314539
905	62368	1314418
906	62443	1314485
907	62507	1314304
908	62578	1314289
909	62644	1314149
910	62713	1314084
911	62786	1314110
912	62854	1314030
913	62921	1313918
914	62984	1313723
915	63047	1313540
916	63111	1313369
917	63177	1313228
918	63247	1313185
919	63322	1313243
920	63387	1313101
921	63456	1313047
922	63524	1312963
923	63593	1312880
924	63652	1312610
925	63722	1312563
926	63788	1312448
927	63856	1312351
928	63923	1312245
929	63986	1312073
930	64058	1312066
931	64135	1312157
932	64200	1312013
933	64267	1311909
934	64336	1311835
935	64403	1311730
936	64463	1311489
937	64529	1311374
938	64602	1311382
939	64672	1311344
940	64743	1311309
941	64816	1311320
942	64877	1311104
943	64945	1311024
944	65010	1310865
945	65081	1310845
946	65143	1310646
947	65203	1310402
948	65269	1310282
949	65341	1310275
950	65413	1310260
951	65488	1310311
952	65562	1310360
953	65632	1310303
954	65708	1310389
955	65777	1310317
956	65838	1310092
957	65901	1309913
958	65972	1309887
959	66041	1309829
960	66106	1309672
961	66172	1309550
962	66246	1309587
963	66317	1309557
964	66386	1309498
965	66454	1309413
966	66518	1309254
967	66583	1309102
968	66654	1309091
969	66722	1309005
970	66795	1309005
971	66862	1308913
972	66934	1308908
973	67004	1308852
974	67068	1308687
975	67135	1308590
976	67204	1308517
977	67268	1308370
978	67337	1308302
979	67409	1308295
980	67465	1307985
981	67529	1307816
982	67599	1307775
983	67665	1307649
984	67728	1307463
985	67797	1307396
986	67861	1307240
987	67937	1307308
988	67997	1307080
989	68074	1307172
990	68142	1307075
991	68201	1306838
992	68266	1306697
993	68337	1306653
994	68403	1306534
995	68462	1306284
996	68532	1306238
997	68602	1306198
998	68663	1305987
999	68730	1305887
1000	68797	1305769
1001	68864	1305675
1002	68928	1305514
1003	68997	1305460
1004	69069	1305451
1005	69143	1305471
1006	69213	1305425
1007	69281	1305346
1008	69351	1305299
1009	69423	1305299
1010	69492	1305234
1011	69568	1305297
1012	69644	1305371
1013	69714	1305320
1014	69782	1305235
1015	69856	1305266
1016	69927	1305240
1017	69997	1305191
1018	70068	1305173
1019	70138	1305117
1020	70209	1305095
1021	70281	1305083
1022	70351	1305045
1023	70419	1304961
1024	70492	1304974
1025	70560	1304881
1026	70626	1304774
1027	70690	1304610
1028	70764	1304634
1029	70830	1304512
1030	70898	1304430
1031	70964	1304313
1032	71025	1304099
1033	71092	1304012
1034	71159	1303898
1035	71230	1303883
1036	71301	1303848
1037	71365	1303688
1038	71428	1303522
1039	71492	1303371
1040	71553	1303150
1041	71620	1303058
1042	71695	1303106
1043	71769	1303116
1044	71831	1302941
1045	71896	1302797
1046	71964	1302722
1047	72037	1302716
1048	72114	1302808
1049	72178	1302655
1050	72246	1302569
1051	72313	1302467
1052	72375	1302283
1053	72440	1302139
1054	72511	1302105
1055	72574	1301946
1056	72637	1301776
1057	72704	1301668
1058	72774	1301626
1059	72841	1301518
1060	72915	1301547
1061	72980	1301409
1062	73057	1301491
1063	73125	1301407
1064	73198	1301416
1065	73272	1301442
1066	73343	1301409
1067	73412	1301358
1068	73484	1301338
1069	73551	1301249
1070	73617	1301127
1071	73679	1300937
1072	73749	1300889
1073	73821	1300879
1074	73890	1300812
1075	73954	1300669
1076	74018	1300513
1077	74089	1300485
1078	74159	1300440
1079	74225	1300315
1080	74295	1300279
1081	74366	1300237
1082	74431	1300116
1083	74495	1299965
1084	74567	1299955
1085	74640	1299953
1086	74709	1299882
1087	74774	1299748
1088	74846	1299737
1089	74909	1299584
1090	74974	1299434
1091	75045	1299417
1092	75117	1299394
1093	75182	1299266
1094	75239	1299002
1095	75312	1298999
1096	75384	1298999
1097	75455	1298957
1098	75526	1298932
1099	75597	1298903
1100	75661	1298757
1101	75722	1298553
1102	75783	1298352
1103	75854	1298317
1104	75920	1298197
1105	75982	1298021
1106	76052	1297971
1107	76117	1297839
1108	76188	1297813
1109	76262	1297839
1110	76338	1297889
1111	76406	1297815
1112	76477	1297777
1113	76547	1297738
1114	76616	1297677
1115	76684	1297595
1116	76753	1297518
1117	76829	1297578
1118	76896	1297478
1119	76958	1297296
1120	77022	1297157
1121	77097	1297196
1122	77172	1297222
1123	77241	1297166
1124	77309	1297077
1125	77370	1296888
1126	77438	1296799
1127	77505	1296703
1128	77580	1296747
1129	77650	1296696
1130	77720	1296639
1131	77788	1296569
1132	77859	1296540
1133	77922	1296364
1134	77990	1296291
1135	78058	1296213
1136	78128	1296169
1137	78191	1295997
1138	78264	1295999
1139	78336	1295986
1140	78412	1296038
1141	78475	1295881
1142	78541	1295769
1143	78610	1295693
1144	78678	1295625
1145	78749	1295579
1146	78819	1295536
1147	78885	1295431
1148	78951	1295305
1149	79010	1295085
1150	79081	1295060
1151	79147	1294935
1152	79208	1294748
1153	79280	1294727
1154	79350	1294676
1155	79415	1294558
1156	79493	1294641
1157	79564	1294598
1158	79630	1294498
1159	79704	1294506
1160	79766	1294332
1161	79831	1294199
1162	79896	1294080
1163	79971	1294110
1164	80044	1294114
1165	80119	1294150
1166	80194	1294176
1167	80266	1294156
1168	80335	1294094
1169	80389	1293796
1170	80459	1293739
1171	80527	1293665
1172	80593	1293546
1173	80665	1293532
1174	80733	1293453
1175	80802	1293395
1176	80865	1293226
1177	80929	1293080
1178	80998	1293019
1179	81065	1292930
1180	81132	1292830
1181	81203	1292791
1182	81276	1292796
1183	81348	1292774
1184	81412	1292644
1185	81482	1292593
1186	81551	1292521
1187	81621	1292485
1188	81680	1292254
1189	81748	1292168
1190	81812	1292034
1191	81878	1291918
1192	81947	1291860
1193	82010	1291693
1194	82081	1291669
1195	82153	1291653
1196	82214	1291458
1197	82287	1291464
1198	82356	1291400
1199	82423	1291303
1200	82496	1291301
1201	82566	1291249
1202	82637	1291211
1203	82703	1291108
1204	82773	1291066
1205	82846	1291063
1206	82904	1290821
1207	82971	1290729
1208	83031	1290532
1209	83097	1290410
1210	83168	1290377
1211	83240	1290365
1212	83309	1290295
1213	83374	1290180
1214	83441	1290077
1215	83508	1289986
1216	83577	1289922
1217	83642	1289802
1218	83707	1289665
1219	83776	1289608
1220	83848	1289596
1221	83915	1289494
1222	83981	1289391
1223	84051	1289344
1224	84115	1289203
1225	84187	1289175
1226	84259	1289158
1227	84318	1288953
1228	84386	1288874
1229	84451	1288741
1230	84523	1288730
1231	84594	1288694
1232	84660	1288578
1233	84730	1288529
1234	84803	1288534
1235	84873	1288490
1236	84941	1288402
1237	85005	1288260
1238	85072	1288170
1239	85130	1287944
1240	85199	1287878
1241	85264	1287754
1242	85327	1287604
1243	85396	1287539
1244	85460	1287392
1245	85534	1287412
1246	85605	1287376
1247	85676	1287351
1248	85745	1287285
1249	85811	1287176
1250	85874	1287013
1251	85935	1286841
1252	86005	1286790
1253	86071	1286685
1254	86145	1286688
1255	86212	1286593
1256	86287	1286619
1257	86359	1286612
1258	86430	1286572
1259	86499	1286506
1260	86567	1286434
1261	86630	1286279
1262	86698	1286202
1263	86766	1286125
1264	86829	1285971
1265	86901	1285956
1266	86967	1285837
1267	87039	1285830
1268	87105	1285721
1269	87167	1285544
1270	87234	1285461
1271	87305	1285423
1272	87374	1285361
1273	87449	1285382
1274	87511	1285217
1275	87571	1285027
1276	87648	1285072
1277	87719	1285035
1278	87778	1284829
1279	87848	1284782
1280	87917	1284727
1281	87984	1284635
1282	88048	1284489
1283	88118	1284437
1284	88181	1284294
1285	88251	1284251
1286	88316	1284117
1287	88379	1283971
1288	88443	1283833
1289	88519	1283881
1290	88595	1283908
1291	88665	1283870
1292	88736	1283831
1293	88806	1283780
1294	88870	1283644
1295	88940	1283591
1296	89010	1283545
1297	89067	1283317
1298	89142	1283330
1299	89216	1283343
1300	89271	1283080
1301	89336	1282957
1302	89410	1282965
1303	89472	1282803
1304	89527	1282548
1305	89602	1282562
1306	89664	1282401
1307	89735	1282366
1308	89805	1282313
1309	89874	1282256
1310	89942	1282184
1311	90008	1282077
1312	90077	1282015
1313	90148	1281975
1314	90223	1281992
1315	90295	1281973
1316	90362	1281885
1317	90432	1281834
1318	90497	1281718
1319	90567	1281668
1320	90633	1281567
1321	90710	1281604
1322	90779	1281545
1323	90841	1281380
1324	90912	1281356
1325	90975	1281208
1326	91042	1281109
1327	91110	1281032
1328	91178	1280960
1329	91240	1280790
1330	91309	1280732
1331	91372	1280586
1332	91442	1280541
1333	91510	1280463
1334	91584	1280474
1335	91643	1280266
1336	91710	1280178
1337	91776	1280075
1338	91841	1279949
1339	91905	1279823
1340	91967	1279658
1341	92039	1279631
1342	92104	1279513
1343	92172	1279446
1344	92244	1279427
1345	92307	1279274
1346	92365	1279064
1347	92436	1279021
1348	92508	1279000
1349	92570	1278837
1350	92634	1278719
1351	92705	1278680
1352	92775	1278628
1353	92834	1278430
1354	92902	1278354
1355	92973	1278315
1356	93038	1278196
1357	93114	1278228
1358	93184	1278189
1359	93257	1278173
1360	93320	1278036
1361	93382	1277870
1362	93451	1277809
1363	93512	1277643
1364	93576	1277513
1365	93647	1277468
1366	93710	1277329
1367	93773	1277183
1368	93840	1277090
1369	93911	1277064
1370	93976	1276941
1371	94037	1276772
1372	94105	1276694
1373	94169	1276569
1374	94240	1276525
1375	94310	1276485
1376	94384	1276488
1377	94446	1276334
1378	94516	1276277
1379	94584	1276204
1380	94656	1276184
1381	94724	1276111
1382	94784	1275923
1383	94854	1275874
1384	94922	1275797
1385	94994	1275780
1386	95053	1275582
1387	95127	1275590
1388	95196	1275528
1389	95259	1275378
1390	95323	1275256
1391	95397	1275250
1392	95463	1275153
1393	95534	1275118
1394	95605	1275080
1395	95667	1274930
1396	95727	1274748
1397	95794	1274654
1398	95853	1274456
1399	95921	1274379
1400	95990	1274328
1401	96054	1274190
1402	96116	1274043
1403	96181	1273921
1404	96242	1273756
1405	96305	1273616
1406	96370	1273499
1407	96442	1273479
1408	96518	1273510
1409	96578	1273332
1410	96636	1273122
1411	96702	1273023
1412	96766	1272896
1413	96832	1272792
1414	96893	1272622
1415	96964	1272587
1416	97028	1272469
1417	97088	1272284
1418	97158	1272239
1419	97221	1272097
1420	97282	1271934
1421	97358	1271956
1422	97420	1271805
1423	97479	1271621
1424	97550	1271580
1425	97619	1271514
1426	97690	1271481
1427	97750	1271298
1428	97806	1271079
1429	97875	1271009
1430	97943	1270944
1431	98009	1270834
1432	98080	1270807
1433	98155	1270820
1434	98228	1270805
1435	98299	1270767
1436	98372	1270767
1437	98440	1270695
1438	98512	1270663
1439	98577	1270552
1440	98643	1270459
1441	98709	1270354
1442	98776	1270273
1443	98835	1270079
1444	98894	1269885
1445	98965	1269854
1446	99040	1269864
1447	99110	1269821
1448	99180	1269773
1449	99250	1269722
1450	99320	1269676
1451	99388	1269595
1452	99456	1269525
1453	99526	1269479
1454	99599	1269464
1455	99663	1269344
1456	99736	1269327
1457	99800	1269209
1458	99872	1269182
1459	99935	1269046
1460	100004	1268985
1461	100075	1268940
1462	100143	1268875
1463	100207	1268745
1464	100277	1268696
1465	100343	1268600
1466	100405	1268455
1467	100472	1268360
1468	100538	1268265
1469	100596	1268064
1470	100663	1267982
1471	100719	1267751
1472	100788	1267688
1473	100852	1267566
1474	100915	1267428
1475	100983	1267359
1476	101052	1267294
1477	101120	1267215
1478	101190	1267168
1479	101259	1267115
1480	101324	1267002
1481	101393	1266943
1482	101455	1266795
1483	101521	1266694
1484	101593	1266668
1485	101660	1266580
1486	101736	1266605
1487	101799	1266478
1488	101859	1266302
1489	101925	1266202
1490	101994	1266136
1491	102055	1265974
1492	102124	1265916
1493	102197	1265904
1494	102261	1265786
1495	102321	1265613
